file,split,pattern,retention,seed,channel,unit,removed,mae,rmse,gaps,absolute_error_sum,squared_error_sum
V300_Case5_CutFre20.xls,validation,bursty,0.6,0,uplift,m,6125,2.3925283608729748e-05,3.179381479070498e-05,766,0.14654236210346971,6.191435786042111e-06
V300_Case6_CutFre20.xls,validation,random,1.0,0,acceleration,m/s^2,0,,,0,0.0,0.0
V300_Case6_CutFre20.xls,validation,random,1.0,0,uplift,m,0,,,0,0.0,0.0
V300_Case6_CutFre20.xls,validation,random,0.8,0,acceleration,m/s^2,2784,0.01863416509445552,0.027411618608047996,2198,51.87751562296417,2.0918887878412233
V300_Case6_CutFre20.xls,validation,random,0.8,0,uplift,m,2784,2.634582993774354e-06,3.841471666240822e-06,2198,0.007334679054667802,4.108322230208642e-08
V300_Case6_CutFre20.xls,validation,random,0.6,0,acceleration,m/s^2,5568,0.03380923145437062,0.05770477498706027,3287,188.2498007379356,18.540555001518804
V300_Case6_CutFre20.xls,validation,random,0.6,0,uplift,m,5568,4.800158459299452e-06,8.353253771453265e-06,3287,0.02672728230137935,3.8851749283942034e-07
V300_Case6_CutFre20.xls,validation,bursty,1.0,0,acceleration,m/s^2,0,,,0,0.0,0.0
V300_Case6_CutFre20.xls,validation,bursty,1.0,0,uplift,m,0,,,0,0.0,0.0
V300_Case6_CutFre20.xls,validation,bursty,0.8,0,acceleration,m/s^2,2784,0.179359474862959,0.22252219263177497,348,499.33677801847784,137.8528953788093
V300_Case6_CutFre20.xls,validation,bursty,0.8,0,uplift,m,2784,2.560809626190753e-05,3.2071871306837496e-05,348,0.07129293999315056,2.863636122676613e-06
V300_Case6_CutFre20.xls,validation,bursty,0.6,0,acceleration,m/s^2,5568,0.16818254888380044,0.2153844373600883,696,936.4404321850009,258.30205821134064
V300_Case6_CutFre20.xls,validation,bursty,0.6,0,uplift,m,5568,2.3073290592743913e-05,2.9574865051288297e-05,696,0.12847208202039812,4.8701772751210565e-06
V300_Case7_CutFre20.xls,test,random,1.0,0,acceleration,m/s^2,0,,,0,0.0,0.0
V300_Case7_CutFre20.xls,test,random,1.0,0,uplift,m,0,,,0,0.0,0.0
V300_Case7_CutFre20.xls,test,random,0.8,0,acceleration,m/s^2,2506,0.021827535528134143,0.03240849984195026,1997,54.699804033504165,2.63207902018626
V300_Case7_CutFre20.xls,test,random,0.8,0,uplift,m,2506,2.2232034834443334e-06,3.3139419340905864e-06,1997,0.0055713479295115,2.7521421123165288e-08
V300_Case7_CutFre20.xls,test,random,0.6,0,acceleration,m/s^2,5012,0.03863044475933884,0.06628809127989463,3005,193.6157891338063,22.02328456020459
V300_Case7_CutFre20.xls,test,random,0.6,0,uplift,m,5012,3.955288736573859e-06,6.850334891287371e-06,3005,0.01982390714770818,2.3519856567141925e-07
V300_Case7_CutFre20.xls,test,bursty,1.0,0,acceleration,m/s^2,0,,,0,0.0,0.0
V300_Case7_CutFre20.xls,test,bursty,1.0,0,uplift,m,0,,,0,0.0,0.0
V300_Case7_CutFre20.xls,test,bursty,0.8,0,acceleration,m/s^2,2506,0.20538726595059517,0.27368606282856844,314,514.7004884721915,187.70957683242744
V300_Case7_CutFre20.xls,test,bursty,0.8,0,uplift,m,2506,2.1610471349664664e-05,2.9410947561145963e-05,314,0.05415584120225964,2.167699614129861e-06
V300_Case7_CutFre20.xls,test,bursty,0.6,0,acceleration,m/s^2,5012,0.19943670568171434,0.2603468462451056,627,999.5767688767523,339.71576751306065
V300_Case7_CutFre20.xls,test,bursty,0.6,0,uplift,m,5012,2.068715643360871e-05,2.7425985653150718e-05,627,0.10368402804524685,3.769949661502707e-06
V300_Case8_CutFre20.xls,test,random,1.0,0,acceleration,m/s^2,0,,,0,0.0,0.0
