file,split,speed_kmh,case,cutoff,rows,distance_first_m,distance_last_m,raw_columns_exact,strictly_increasing,intervals,mean_m,std_m,min_m,max_m,median_m
V300_Case4_CutFre150.xls,train,300,4,150,19141,55.083333333333336,1650.0833333329497,True,True,19140,0.08333333333331328,4.8782885236331695e-14,0.08333333333325754,0.08333333333337123,0.08333333333331439
V300_Case4_CutFre20.xls,train,300,4,20,19141,55.083333333333336,1650.0833333329497,True,True,19140,0.08333333333331328,4.8782885236331695e-14,0.08333333333325754,0.08333333333337123,0.08333333333331439
V300_Case4_CutFre200.xls,train,300,4,200,19141,55.083333333333336,1650.0833333329497,True,True,19140,0.08333333333331328,4.8782885236331695e-14,0.08333333333325754,0.08333333333337123,0.08333333333331439
V300_Case4_CutFre50.xls,train,300,4,50,19141,55.083333333333336,1650.0833333329497,True,True,19140,0.08333333333331328,4.8782885236331695e-14,0.08333333333325754,0.08333333333337123,0.08333333333331439
V300_Case5_CutFre100.xls,validation,300,5,100,19141,55.083333333333336,1650.0833333329497,True,True,19140,0.08333333333331328,4.8782885236331695e-14,0.08333333333325754,0.08333333333337123,0.08333333333331439
V300_Case5_CutFre150.xls,validation,300,5,150,19141,55.083333333333336,1650.0833333329497,True,True,19140,0.08333333333331328,4.8782885236331695e-14,0.08333333333325754,0.08333333333337123,0.08333333333331439
V300_Case5_CutFre20.xls,validation,300,5,20,19141,55.083333333333336,1650.0833333329497,True,True,19140,0.08333333333331328,4.8782885236331695e-14,0.08333333333325754,0.08333333333337123,0.08333333333331439
V300_Case5_CutFre200.xls,validation,300,5,200,19141,55.083333333333336,1650.0833333329497,True,True,19140,0.08333333333331328,4.8782885236331695e-14,0.08333333333325754,0.08333333333337123,0.08333333333331439
V300_Case5_CutFre50.xls,validation,300,5,50,19141,55.083333333333336,1650.0833333329497,True,True,19140,0.08333333333331328,4.8782885236331695e-14,0.08333333333325754,0.08333333333337123,0.08333333333331439
V300_Case6_CutFre100.xls,validation,300,6,100,17401,50.083333333333336,1500.083333333086,True,True,17400,0.08333333333331912,4.7579203218971804e-14,0.08333333333325754,0.08333333333337123,0.08333333333331439
V300_Case6_CutFre150.xls,validation,300,6,150,17401,50.083333333333336,1500.083333333086,True,True,17400,0.08333333333331912,4.7579203218971804e-14,0.08333333333325754,0.08333333333337123,0.08333333333331439
V300_Case6_CutFre20.xls,validation,300,6,20,17401,50.083333333333336,1500.083333333086,True,True,17400,0.08333333333331912,4.7579203218971804e-14,0.08333333333325754,0.08333333333337123,0.08333333333331439
V300_Case6_CutFre200.xls,validation,300,6,200,17401,50.083333333333336,1500.083333333086,True,True,17400,0.08333333333331912,4.7579203218971804e-14,0.08333333333325754,0.08333333333337123,0.08333333333331439
V300_Case6_CutFre50.xls,validation,300,6,50,17401,50.083333333333336,1500.083333333086,True,True,17400,0.08333333333331912,4.7579203218971804e-14,0.08333333333325754,0.08333333333337123,0.08333333333331439
V300_Case7_CutFre100.xls,test,300,7,100,15661,45.083333333333336,1350.0833333332228,True,True,15660,0.08333333333332628,4.5047406951403714e-14,0.08333333333325754,0.08333333333337123,0.0833333333333357
V300_Case7_CutFre150.xls,test,300,7,150,15661,45.083333333333336,1350.0833333332228,True,True,15660,0.08333333333332628,4.5047406951403714e-14,0.08333333333325754,0.08333333333337123,0.0833333333333357
V300_Case7_CutFre20.xls,test,300,7,20,15661,45.083333333333336,1350.0833333332228,True,True,15660,0.08333333333332628,4.5047406951403714e-14,0.08333333333325754,0.08333333333337123,0.0833333333333357
V300_Case7_CutFre200.xls,test,300,7,200,15661,45.083333333333336,1350.0833333332228,True,True,15660,0.08333333333332628,4.5047406951403714e-14,0.08333333333325754,0.08333333333337123,0.0833333333333357
V300_Case7_CutFre50.xls,test,300,7,50,15661,45.083333333333336,1350.0833333332228,True,True,15660,0.08333333333332628,4.5047406951403714e-14,0.08333333333325754,0.08333333333337123,0.0833333333333357
V300_Case8_CutFre100.xls,test,300,8,100,17401,50.083333333333336,1500.083333333086,True,True,17400,0.08333333333331912,4.7579203218971804e-14,0.08333333333325754,0.08333333333337123,0.08333333333331439
V300_Case8_CutFre150.xls,test,300,8,150,17401,50.083333333333336,1500.083333333086,True,True,17400,0.08333333333331912,4.7579203218971804e-14,0.08333333333325754,0.08333333333337123,0.08333333333331439
V300_Case8_CutFre20.xls,test,300,8,20,17401,50.083333333333336,1500.083333333086,True,True,17400,0.08333333333331912,4.7579203218971804e-14,0.08333333333325754,0.08333333333337123,0.08333333333331439
V300_Case8_CutFre200.xls,test,300,8,200,17401,50.083333333333336,1500.083333333086,True,True,17400,0.08333333333331912,4.7579203218971804e-14,0.08333333333325754,0.08333333333337123,0.08333333333331439
V300_Case8_CutFre50.xls,test,300,8,50,17401,50.083333333333336,1500.083333333086,True,True,17400,0.08333333333331912,4.7579203218971804e-14,0.08333333333325754,0.08333333333337123,0.08333333333331439
V350_Case1_CutFre100.xls,train,350,1,100,14915,50.09722222222222,1500.06944444396,True,True,14914,0.09722222222218975,2.640481957210906e-14,0.0972222222221717,0.09722222222228538,0.0972222222221717
V350_Case1_CutFre150.xls,train,350,1,150,14915,50.09722222222222,1500.06944444396,True,True,14914,0.09722222222218975,2.640481957210906e-14,0.0972222222221717,0.09722222222228538,0.0972222222221717
V350_Case1_CutFre20.xls,train,350,1,20,14915,50.09722222222222,1500.06944444396,True,True,14914,0.09722222222218975,2.640481957210906e-14,0.0972222222221717,0.09722222222228538,0.0972222222221717
V350_Case1_CutFre200.xls,train,350,1,200,14915,50.09722222222222,1500.06944444396,True,True,14914,0.09722222222218975,2.640481957210906e-14,0.0972222222221717,0.09722222222228538,0.0972222222221717
V350_Case1_CutFre50.xls,train,350,1,50,14915,50.09722222222222,1500.06944444396,True,True,14914,0.09722222222218975,2.640481957210906e-14,0.0972222222221717,0.09722222222228538,0.0972222222221717
V350_Case2_CutFre100.xls,train,350,2,100,13423,45.09722222222222,1350.0138888884824,True,True,13422,0.09722222222219191,2.7131919550738374e-14,0.0972222222221717,0.09722222222228538,0.0972222222221717
V350_Case2_CutFre150.xls,train,350,2,150,13423,45.09722222222222,1350.0138888884824,True,True,13422,0.09722222222219191,2.7131919550738374e-14,0.0972222222221717,0.09722222222228538,0.0972222222221717
V350_Case2_CutFre20.xls,train,350,2,20,13423,45.09722222222222,1350.0138888884824,True,True,13422,0.09722222222219191,2.7131919550738374e-14,0.0972222222221717,0.09722222222228538,0.0972222222221717
V350_Case2_CutFre200.xls,train,350,2,200,13423,45.09722222222222,1350.0138888884824,True,True,13422,0.09722222222219191,2.7131919550738374e-14,0.0972222222221717,0.09722222222228538,0.0972222222221717
V350_Case2_CutFre50.xls,train,350,2,50,13423,45.09722222222222,1350.0138888884824,True,True,13422,0.09722222222219191,2.7131919550738374e-14,0.0972222222221717,0.09722222222228538,0.0972222222221717
V350_Case3_CutFre100.xls,train,350,3,100,16406,55.09722222222222,1650.0277777772153,True,True,16405,0.09722222222218793,2.564005054676057e-14,0.0972222222221717,0.09722222222222854,0.0972222222221717
V350_Case3_CutFre150.xls,train,350,3,150,16406,55.09722222222222,1650.0277777772153,True,True,16405,0.09722222222218793,2.564005054676057e-14,0.0972222222221717,0.09722222222222854,0.0972222222221717
