file,split,speed_kmh,pattern,retention,seed,source_row_first,source_row_last,retained_rows,longest_missing_run_samples,intervals,mean_m,std_m,min_m,max_m,median_m
V350_Case1_CutFre20.xls,train,350,random,1.0,0,1491,13423,11933,0,11932,0.09722222222218724,2.5345544658380997e-14,0.0972222222221717,0.09722222222228538,0.0972222222221717
V350_Case1_CutFre20.xls,train,350,random,0.8,0,1491,13423,9546,5,9545,0.12153541703039687,0.054378474461996146,0.0972222222221717,0.5833333333333712,0.0972222222221717
V350_Case1_CutFre20.xls,train,350,random,0.6,0,1491,13423,7160,8,7159,0.16204156384343318,0.10358540160102137,0.0972222222221717,0.8749999999995453,0.09722222222222854
V350_Case1_CutFre20.xls,train,350,bursty,1.0,0,1491,13423,11933,0,11932,0.09722222222218724,2.5345544658380997e-14,0.0972222222221717,0.09722222222228538,0.0972222222221717
V350_Case1_CutFre20.xls,train,350,bursty,0.8,0,1491,13423,9546,8,9545,0.12153541703039687,0.135293300220001,0.0972222222221717,0.8750000000000568,0.0972222222221717
V350_Case1_CutFre20.xls,train,350,bursty,0.6,0,1491,13423,7160,8,7159,0.16204156384343318,0.2149271775665505,0.0972222222221717,0.8750000000000568,0.0972222222221717
V350_Case2_CutFre20.xls,train,350,random,1.0,0,1342,12080,10739,0,10738,0.09722222222219003,2.657738166071339e-14,0.0972222222221717,0.09722222222228538,0.0972222222221717
V350_Case2_CutFre20.xls,train,350,random,0.8,0,1342,12080,8591,7,8590,0.12153343681279122,0.05537678064697007,0.0972222222221717,0.7777777777778283,0.0972222222221717
V350_Case2_CutFre20.xls,train,350,random,0.6,0,1342,12080,6443,11,6442,0.16205715961221306,0.10365803860470357,0.0972222222221717,1.1666666666660603,0.09722222222222854
V350_Case2_CutFre20.xls,train,350,bursty,1.0,0,1342,12080,10739,0,10738,0.09722222222219003,2.657738166071339e-14,0.0972222222221717,0.09722222222228538,0.0972222222221717
V350_Case2_CutFre20.xls,train,350,bursty,0.8,0,1342,12080,8591,8,8590,0.12153343681279122,0.13527779351263325,0.0972222222221717,0.8750000000000568,0.0972222222221717
V350_Case2_CutFre20.xls,train,350,bursty,0.6,0,1342,12080,6443,8,6442,0.16205715961221306,0.2149967544387273,0.0972222222221717,0.8750000000000568,0.0972222222221717
V350_Case3_CutFre20.xls,train,350,random,1.0,0,1640,14765,13126,0,13125,0.09722222222218493,2.402986016503997e-14,0.0972222222221717,0.09722222222222854,0.0972222222221717
V350_Case3_CutFre20.xls,train,350,random,0.8,0,1640,14765,10501,5,10500,0.12152777777773116,0.054823005988311344,0.0972222222221717,0.5833333333330302,0.0972222222221717
V350_Case3_CutFre20.xls,train,350,random,0.6,0,1640,14765,7876,9,7875,0.1620370370369749,0.10496913126491063,0.0972222222221717,0.972222222221717,0.09722222222222854
V350_Case3_CutFre20.xls,train,350,bursty,1.0,0,1640,14765,13126,0,13125,0.09722222222218493,2.402986016503997e-14,0.0972222222221717,0.09722222222222854,0.0972222222221717
V350_Case3_CutFre20.xls,train,350,bursty,0.8,0,1640,14765,10501,8,10500,0.12152777777773116,0.1353043218690607,0.0972222222221717,0.8750000000000568,0.0972222222221717
V350_Case3_CutFre20.xls,train,350,bursty,0.6,0,1640,14765,7876,8,7875,0.1620370370369749,0.2149329177256235,0.0972222222221717,0.8750000000000568,0.0972222222221717
V350_Case4_CutFre20.xls,train,350,random,1.0,0,1640,14765,13126,0,13125,0.09722222222218493,2.402986016503997e-14,0.0972222222221717,0.09722222222222854,0.0972222222221717
V350_Case4_CutFre20.xls,train,350,random,0.8,0,1640,14765,10501,5,10500,0.12152777777773116,0.05317256101462226,0.0972222222221717,0.5833333333330302,0.0972222222221717
V350_Case4_CutFre20.xls,train,350,random,0.6,0,1640,14765,7876,10,7875,0.1620370370369749,0.10179964992214818,0.0972222222221717,1.0694444444438886,0.09722222222222854
V350_Case4_CutFre20.xls,train,350,bursty,1.0,0,1640,14765,13126,0,13125,0.09722222222218493,2.402986016503997e-14,0.0972222222221717,0.09722222222222854,0.0972222222221717
V350_Case4_CutFre20.xls,train,350,bursty,0.8,0,1640,14765,10501,8,10500,0.12152777777773116,0.1353043218690646,0.0972222222221717,0.8750000000000568,0.0972222222221717
V350_Case4_CutFre20.xls,train,350,bursty,0.6,0,1640,14765,7876,8,7875,0.1620370370369749,0.21493291772562606,0.0972222222221717,0.8750000000000568,0.0972222222221717
V350_Case5_CutFre20.xls,validation,350,random,1.0,0,1640,14765,13126,0,13125,0.09722222222218493,2.402986016503997e-14,0.0972222222221717,0.09722222222222854,0.0972222222221717
V350_Case5_CutFre20.xls,validation,350,random,0.8,0,1640,14765,10501,7,10500,0.12152777777773116,0.05487224453366442,0.0972222222221717,0.7777777777773736,0.0972222222221717
